Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_1206_3216Metric,133.0,-92.5,90.0,top
C2,4.7uF,C_0805_2012Metric,129.0,-92.5,90.0,top
C3,100nF,C_1206_3216Metric,138.075489,-84.5,90.0,top
C4,4.7uF,C_0805_2012Metric,138.0,-89.0,-90.0,top
C5,100nF,C_1206_3216Metric,148.0,-92.5,90.0,top
C6,4.7uF,C_0805_2012Metric,151.0,-92.5,90.0,top
D1,SFH205F,LED_SideEmitter_Rectangular_W4.5mm_H1.6mm,118.5,-79.5,-45.0,top
D2,SFH205F,LED_SideEmitter_Rectangular_W4.5mm_H1.6mm,142.0,-71.0,-90.0,top
D3,TSAL4400,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRBlack,160.575489,-74.575489,135.0,top
D4,TSAL4400,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRBlack,135.575489,-71.575489,180.0,top
D5,TSAL4400,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRBlack,112.804401,-82.575489,-135.0,top
D6,TSAL4400,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRBlack,169.575489,-82.575489,135.0,top
D7,SFH205F,LED_SideEmitter_Rectangular_W4.5mm_H1.6mm,165.0,-79.0,-135.0,top
D8,TSAL4400,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRBlack,147.575489,-71.575489,180.0,top
D9,TSAL4400,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRBlack,122.009625,-73.812747,-135.0,top
J1,Conn_02x14_Odd_Even,PinHeader_2x14_P2.54mm_Vertical,141.075489,-106.575489,90.0,top
Q1,2N2219,SOT-23,120.0,-98.5,-90.0,top
Q2,2N2219,SOT-23,164.0,-98.5,90.0,top
R1,100k,R_1206_3216Metric,124.5,-90.5,0.0,top
R2,10k,R_0805_2012Metric,125.0,-101.5,0.0,top
R3,100,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,111.0,-93.5,90.0,top
R4,300,R_1206_3216Metric,111.0,-99.0,90.0,top
R5,600,R_0805_2012Metric,111.0,-103.5,90.0,top
R6,1000,R_1206_3216Metric,119.5,-106.0,180.0,top
R7,100k,R_1206_3216Metric,142.0,-84.0,0.0,top
R8,10k,R_0805_2012Metric,142.5,-90.5,180.0,top
R9,22,R_0402_1005Metric,156.0,-81.5,0.0,top
R10,22,R_0402_1005Metric,136.5,-80.0,180.0,top
R11,22,R_0402_1005Metric,117.5,-90.5,-90.0,top
R12,22,R_0402_1005Metric,151.5,-80.5,0.0,top
R13,100k,R_1206_3216Metric,160.0,-86.0,-90.0,top
R14,10k,R_0805_2012Metric,164.0,-93.5,-90.0,top
R15,22,R_0402_1005Metric,144.355489,-80.575489,0.0,top
R16,22,R_0402_1005Metric,129.5,-82.0,0.0,top
R17,100,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,173.5,-93.5,90.0,top
R18,300,R_1206_3216Metric,173.5,-99.5,90.0,top
R19,600,R_0805_2012Metric,173.5,-104.5,90.0,top
R20,1000,R_1206_3216Metric,164.0,-107.0,0.0,top
